"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_csi" "Month"
"2.142" 0.321428571428571 0.357142857142857 0.444444444444444 0.451612903225806 0.56 0 -1 0.56 5
"2.145" 0.236842105263158 0.230769230769231 0.289473684210526 0.277777777777778 0.289473684210526 0.333333333333333 0 0.333333333333333 6
"2.265" 0.222222222222222 0.206896551724138 0.4 0.444444444444444 0.392857142857143 0.222222222222222 -1 0.444444444444444 4
"2.268" 0.30952380952381 0.315789473684211 0.317073170731707 0.341463414634146 0.307692307692308 0.323529411764706 0.214285714285714 0.341463414634146 4
"2.279" 0.176470588235294 0.375 0.294117647058824 0.363636363636364 0.3 -1 -1 0.375 2
"2.28" 0.217391304347826 0.25 0.375 0.36 0.275862068965517 0.5 -1 0.5 6
"2.291" 0.264705882352941 0.34375 0.371428571428571 0.387096774193548 0.419354838709677 0.4 0.368421052631579 0.419354838709677 5
"2.32" 0.125 0.0833333333333333 0.166666666666667 0.16 0.148148148148148 0.272727272727273 0 0.272727272727273 6
"2.323" 0.571428571428571 0.416666666666667 0.416666666666667 0.432432432432432 0.4 0 0 0.571428571428571 1
"2.604" 0.307692307692308 0.266666666666667 0.28125 0.40625 0.4 0.285714285714286 0 0.40625 4
"2.614" 0.25 0.195121951219512 0.2 0.210526315789474 0.27027027027027 0.181818181818182 0 0.27027027027027 5
"2.633" 0 0 0 0.333333333333333 0 0 0 0.333333333333333 4
"20.2" 0 0.153846153846154 0.133333333333333 0.157894736842105 0.333333333333333 0 -1 0.333333333333333 5
"200.4" 0.0909090909090909 0.166666666666667 0.25 0.263157894736842 0.294117647058824 0.25 0 0.294117647058824 5
"203.2" 0.361111111111111 0.411764705882353 0.361111111111111 0.441176470588235 0.375 0.36 0.25 0.441176470588235 4
"206.3" 0.2 0.263157894736842 0.210526315789474 0.294117647058824 0.25 0.222222222222222 0.333333333333333 0.333333333333333 7
"208.3" 0.36 0.458333333333333 0.461538461538462 0.4 0.521739130434783 0.375 0 0.521739130434783 5
"21.47" 0.178571428571429 0.225806451612903 0.266666666666667 0.379310344827586 0.354838709677419 0.235294117647059 0 0.379310344827586 4
"212.10" 0.34375 0.354838709677419 0.285714285714286 0.297297297297297 0.387096774193548 0.611111111111111 -1 0.611111111111111 6
"212.49" 0.387096774193548 0.419354838709677 0.4 0.411764705882353 0.40625 0.48 0.333333333333333 0.48 6
"22.22" 0 0.25 0 0 0 0 0 0.25 2
"22.4" 0 0 0 0 0 0 0 0 1
"223.2" 0.390243902439024 0.390243902439024 0.461538461538462 0.5 0.529411764705882 0.583333333333333 -1 0.583333333333333 6
"230.1" 0.206896551724138 0.151515151515152 0.176470588235294 0.264705882352941 0.303030303030303 0.5 -1 0.5 6
"234.13" 0.291666666666667 0.291666666666667 0.291666666666667 0.32 0.434782608695652 0.454545454545455 0 0.454545454545455 6
"234.18" 0.241379310344828 0.285714285714286 0.333333333333333 0.357142857142857 0.416666666666667 0.6 -1 0.6 6
"24.8" 0 0.5 0 0 0 0 0 0.5 2
"24.9" 0 0 0 0 0 0 0 0 1
"247.3" 0.418604651162791 0.386363636363636 0.526315789473684 0.487179487179487 0.5 0.636363636363636 -1 0.636363636363636 6
"25.24" 0.153846153846154 0.2 0.241379310344828 0.310344827586207 0.333333333333333 0.272727272727273 0 0.333333333333333 5
"26.20" 0 0 0 -1 -1 -1 -1 0 1
"26.26" 0.130434782608696 0.107142857142857 0.142857142857143 0.148148148148148 0.111111111111111 0.0666666666666667 -1 0.148148148148148 4
"26.29" 0 -1 -1 -1 -1 -1 -1 0 1
"27.24" 0 0 0 -1 -1 -1 -1 0 1
"28.7" 0.166666666666667 0 0 0 0 0 0 0.166666666666667 1
"3.22" 0 0 0 0 -1 -1 -1 0 1
"311.460" 0.392857142857143 0.4 0.433333333333333 0.538461538461538 0.428571428571429 0.6 -1 0.6 6
"311.6" 0.333333333333333 0.34375 0.454545454545455 0.53125 0.5 0.5 -1 0.53125 4
"313.10" 0.2 0.3 0.4 0.391304347826087 0.538461538461538 0 -1 0.538461538461538 5
"42.2" 0 0 0 0 0 0 0 0 1
"48.1" 0 0 0 0 0 0 0 0 1
