OBJECTID	COMPOUND_KEY_12	FELTNR	STATION_NAME	AREAL_NOR	AREAL_UTM33	MERKNAD	NODE_TETTH	REG_DATO	REGULERT	GRAD_1085	GRAD_FELT	GRAD_ELV	HEIGHT_MIN	HEIGHT_10	HEIGHT_20	HEIGHT_30	HEIGHT_40	HEIGHT_50	HEIGHT_60	HEIGHT_70	HEIGHT_80	HEIGHT_90	HEIGHT_MAX	FELT_LE_KM	ELV_LE_KM	VINKEL_TERR	JORDBRUKPRO	MYRPRO	EFF_MYR	EFF_SJO	SKOGPRO	BREPRO	SJOPRO	SNAUFJPRO	URBANPRO	INTENS_MAX	NORM_AAR	UTMSONE_TPKT	UTM_OST_TPKT	UTM_NORD_TPKT	UTMSONE_INNL	UTM_OST_INNL	UTM_NORD_INNL	SUM_AREALPRO	VASSOMR
4285	12300031000	1691	Kjelstad	142.225	145	 	0	20120605	0	15.1752773	18.33	20.61905767	200	381	453	506	537	576	619	679	741	837	1166	21.47650771	33.29977591	320.1	0.52	14.75	0	0.1213521	43.02	0	2.23	35.1	0.01	0	0	33	315696	7021928	33	324200	7021835	95.63	123
4306	1200150000	485	Buvatn	24.79	24.79	 	0	20110307	0	-999	11.24	-999	840	860	877	902	912	933	962	986	1004	1023	1085	6.152264973	-999	164.21	0.12	14.56	0	4.718339205	72.21	0	12.34	0.04	0	0	0	33	158069	6722015	33	155932	6723786	99.27	12
4309	7500023000	1326	Krokenelv	45.92	45.92	 	0	20121213	0	79.09213748	38.13	83.55187826	17	706	940	1029	1106	1148	1188	1227	1265	1306	1467	12.39315499	14.6495809	301.68	0.02	0.3	0	0.050610619	16.2	0	0.98	78.22	0	0	0	33	100676	6824317	33	105350	6821300	95.75	75
4321	5000013000	1121	Bjoreio	262.61	262.61	 	0	20110304	0	4.46	9.62	9.74	1010	1142	1203	1221	1234	1249	1267	1286	1311	1348	1537	20.76	50.23	268.36	0	7.62	0	1.31	0	0	4.8	87.1	0	0	0	33	85510	6709453	33	73580	6707989	99.52	50
4323	7800008000	1363	Bøyumselv	40.425	40.42	 	0	20040202	0	89.05640735	47.38	146.6397493	40	206	456	759	1010	1224	1357	1487	1578	1619	1731	11.08367305	6.527698013	301.67	0.25	0.35	0	0.159616445	19.27	42.95	0.3	30.5	0	0	0	33	61273	6845807	33	60852	6846095	93.62	78
4326	200145000	97	Losna	11212.84	11212.84	 	0	20140220	1917	3.25	17.92	4.77	179	707	870	966	1052	1139	1243	1356	1477	1641	2463	178.1570084	229.68	330.83	2.48	3.41	0	0.189369151	25.28	3	3.89	56.54	0.1	0	0	33	179212	6862066	33	95490	6900852	94.7	2
4357	16500006000	1962	Strandå	23.62	23.62	 	0	20100921	0	14.32021051	38.73	34.5077295	15	20	34	56	118	181	246	307	394	521	932	6.808387158	10.0557181	289.74	0	10.5	0	2.024105761	30.77	0	3.64	22.26	0	0	0	33	497606	7490069	33	500545	7490676	67.17	165
4358	10900009000	1573	Risefoss	745.38	745.38	 	0	20110715	0	15.13910547	21.72	20.22313342	556	1026	1141	1230	1290	1347	1400	1462	1529	1617	2283	37.31682695	53.10749713	313.68	0.19	1.22	0	0.026426518	6.79	0.9	1.87	83.98	0.1	0	0	33	212024	6926800	33	207192	6922818	95.05	109
4371	6200005000	1163	Bulken	1092.04	1092.04	 	0	20140213	0	17.45	31.52	18.93	47	332	511	652	767	867	967	1058	1147	1253	1602	46.51	70.77	264.42	3.37	2.06	0	0.885173851	32.42	0.39	3.54	53.98	0.36	0	0	33	43882	6760482	33	67574	6763528	96.12	62
4398	1200290000	545	Bagn	2976.54	2976.54	 	0	20110307	1916	-999	19.44	-999	220	589	779	853	898	949	1003	1065	1208	1381	1907	93.5973057	-999	264.43	3.83	8.91	0	0.873033337	38.43	0.01	7.72	30.26	0.12	0	0	33	170067	6784682	33	136729	6794048	89.28	12
