"stSamletID" "stID" "stNavn" "coords.x1" "coords.x2" "coords.x3" "optional"
"9389" "017400003000" "174.3.0" "Øvstevatn (Litlevatnet)" 602493 7583718 0 TRUE
"18084" "017400011000" "174.11.0" "Taraldsvikelv" 601757 7593594 0 TRUE
"3682" "017700004000" "177.4.0" "Sneisvatn" 528971 7588456 0 TRUE
"16214" "019100002000" "191.2.0" "Øvrevatn" 618348 7641320 0 TRUE
"12251" "019600035000" "196.35.0" "Malangsfoss" 646006 7662611 0 TRUE
"17276" "020000004000" "200.4.0" "Skogsfjordvatn" 656700 7769022 0 TRUE
"6634" "020300002000" "203.2.0" "Jægervatn" 687806 7743432 0 TRUE
"8649" "020600003000" "206.3.0" "Manndalen bru" 715471 7722523 0 TRUE
"5140" "020800003000" "208.3.0" "Svartfossberget" 748701 7726291 0 TRUE
"265" "021200010000" "212.10.0" "Masi" 837785 7725086 0 TRUE
"12650" "021200027000" "212.27.0" "Eibyelva v/Hammeren" 816763 7764890 0 TRUE
"13459" "021200049000" "212.49.0" "Halsnes" 802014 7788532 0 TRUE
"11806" "022300002000" "223.2.0" "Lombola" 868698 7811095 0 TRUE
"13864" "023000001000" "230.1.0" "Nordmannset" 954469 7911030 0 TRUE
"19661" "023400013000" "234.13.0" "Vækkava, Iesjokka" 888291 7733535 0 TRUE
"842" "023400018000" "234.18.0" "Polmak nye" 991883 7826523 0 TRUE
"15646" "024700003000" "247.3.0" "Karpelva" 1091325 7802944 0 TRUE
"14446" "031100006000" "311.6.0" "Nybergsund" 356394 6794588 0 TRUE
"9683" "031100460000" "311.460.0" "Engeren" 342156 6840464 0 TRUE
"14001" "031300010000" "313.10.0" "Magnor" 342930 6649698 0 TRUE
