"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_roc" "Month" "P_Jan" "P_Feb" "P_Mar" "P_Apr" "P_Mai" "P_Jun" "P_Jul" "Sig_all"
"12.70" 0.663194444444445 0.679166666666667 0.691666666666667 0.73125 0.784722222222222 0.794117647058823 0 0.794117647058823 6 0.0206685375858467 0.012564384678521 0.00830227937160835 0.00191194237632884 0.000184263359611292 0.0417356418462248 0 0.0417356418462248
"12.97" 0.653676470588235 0.619852941176471 0.624264705882353 0.631617647058824 0.686029411764706 0.715277777777778 0.269230769230769 0.715277777777778 6 0.030973916919267 0.0729325094616039 0.065916124307133 0.0547605054426797 0.0118414761936194 0.0435535561211978 0.882918933961723 0.0435535561211978
"122.11" 0.484615384615385 0.406837606837607 0.474358974358974 0.531623931623932 0.71025641025641 0.9375 0 0.9375 6 0.572856503418682 0.856288802054926 0.617750739759371 0.363254756898626 0.00889641751370868 0.000257347432503349 0 0.000257347432503349
"122.17" 0.53125 0.569940476190476 0.610119047619048 0.601190476190476 0.734848484848485 0.580645161290323 0.486486486486487 0.734848484848485 5 0.379286971242805 0.240058191680309 0.131418777637043 0.15200745714345 0.00845278017053031 0.270570836345861 0.628845802964142 0.00845278017053031
"122.9" 0.431712962962963 0.421296296296296 0.559027777777778 0.586805555555556 0.748842592592593 0.775 0 0.775 6 0.774902754416288 0.807688288338852 0.264805580136581 0.175708656495708 0.00355520902359814 0.00769056150189788 0.999706590335574 0.00769056150189788
"123.31" 0.475213675213675 0.504464285714286 0.561607142857143 0.572420634920635 0.648809523809524 0.658054711246201 0.405228758169935 0.658054711246201 6 0.61432700073686 0.484230654826681 0.25069528120771 0.225791295406948 0.0599311643051128 0.0919587330600159 0.720841457923274 0.0919587330600159
"124.2" 0.546626984126984 0.579281183932347 0.529545454545455 0.509510869565217 0.673913043478261 0.915094339622642 0 0.915094339622642 6 0.315528300440185 0.212342916196353 0.390124240418126 0.470783854026122 0.0573421296178104 0.0807076108719941 0 0.0807076108719941
"127.11" 0.471938775510204 0.550170068027211 0.571929824561404 0.656810035842294 0.682795698924731 0.777777777777778 0 0.777777777777778 6 0.634562253776293 0.278859628787525 0.20281301672449 0.0351959602311724 0.0175423834508141 0.0232358599724646 0 0.0232358599724646
"127.13" 0.546296296296296 0.669950738916256 0.696022727272727 0.730392156862745 0.765873015873016 0 0 0.765873015873016 5 0.310391137213618 0.037624374890921 0.0280277364412259 0.0181556745192507 0.0142468948353043 0 0 0.0142468948353043
"133.7" 0.339285714285714 0.600198412698413 0.460597826086957 0.569444444444444 0.943396226415094 0 0 0.943396226415094 5 0.968081585385413 0.146482851176846 0.643448707160155 0.294830737335318 0.0688115369692224 0 0 0.0688115369692224
"138.1" 0.482730263157895 0.382739212007505 0.514945652173913 0.589795918367347 0.745283018867924 0 0 0.745283018867924 5 0.583090277579671 0.899405823801116 0.451477264914774 0.26020016112328 0.20956486036061 0 0 0.20956486036061
"139.15" 0.451388888888889 0.50297619047619 0.551136363636364 0.582954545454545 0.554545454545455 0.587654320987654 0.712418300653595 0.712418300653595 7 0.698841318120825 0.49169027885978 0.311974084134901 0.211156123727971 0.30028202648249 0.207922601696681 0.103152577095099 0.103152577095099
"139.35" 0.677469135802469 0.68796992481203 0.721500721500721 0.674005681818182 0.679166666666667 0.818803418803419 0.537735849056604 0.818803418803419 6 0.0171541232879873 0.0104939486389959 0.0024497548741754 0.0138199931893043 0.010194645459231 0.000128543428815814 0.459650800284909 0.000128543428815814
"148.2" 0.403935185185185 0.384615384615385 0.637867647058823 0.828703703703704 0.5 1 0 1 6 0.859299736857041 0.888830732968138 0.116883377251495 0.00536306782357485 0.510190011832194 0.0448229940289596 0 0.0448229940289596
