"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_Reff" "Month"
"15.79" 0.0607413198137242 0.0275774528208433 0.0498210298796264 -0.0688834052204825 -0.143565319291522 0.39523087797071 0.552295765490878 0.552295765490878 7
"151.15" -0.0941708505960677 -0.150506972808909 -0.275329785508219 -0.108904889773063 -0.0255341826927047 0.362018864331723 0.470536140349582 0.470536140349582 7
"152.4" -0.430399665879056 -0.566602592643851 -0.382747219906153 -0.335637036837791 -0.378501484418253 -0.0673420180262707 0.36936384681835 0.36936384681835 7
"156.10" -0.0267493048522698 -0.00818530353527303 -0.0192119760169385 -0.0145068132563764 0.0184636680793734 0.00550590336928569 -0.183755632777386 0.0184636680793734 5
"157.3" -0.0572720839158007 -0.106223072661707 -0.116926969030605 0.00260359937792454 -0.00310023269901127 0.0611710444295944 -0.615941351737425 0.0611710444295944 6
"16.122" 0.0170305549989551 -0.0436342139080699 -0.21273739644177 -0.362888823005759 -0.687434065393725 -0.350415186316714 -1.39935881533138 0.0170305549989551 1
"16.193" -0.0439691352498672 -0.171774381089067 -0.264640367233109 -0.578654971968439 -0.878122557216175 -1.07356149543303 -2.0532536478348 -0.0439691352498672 1
"16.66" 0.0435340151997013 -0.0352039526084507 -0.0517267011598803 -0.15124810656378 -0.158477838720147 -0.950580857001442 -0.348352967468466 0.0435340151997013 1
"16.75" 0.0192768294911669 -0.245212248756843 -0.287289528247897 -0.281224032397842 -0.263075438579021 -0.735650899830547 -0.39147904102545 0.0192768294911669 1
"161.7" 0.0498689007345615 0.0747631491109445 0.0312038279730359 0.138351266669569 0.0622561077510816 0.202653152412215 0.522012897202474 0.522012897202474 7
"162.3" -0.113791643382761 -0.458115254396055 -0.625292031625374 -0.656273368580351 -0.809042775167203 -0.132957737506281 -3.59669134579858 -0.113791643382761 1
"163.5" -0.0790127949230119 -0.0595605478885723 -0.129278818689393 -0.0385591880912133 -0.133643022438627 -0.136814723147968 -0.532593090841497 -0.0385591880912133 4
"165.6" -0.180398965291564 -0.125937079840898 -0.088960565316645 -0.0271937482112312 -0.160961546286887 -0.275694383547556 -0.36270338613651 -0.0271937482112312 4
