"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_corr" "Month" "R_sig"
"15.49" 0.330056647524968 0.409164903697661 0.445176523962467 0.44553767287351 0.415669689536377 0.601485139073238 0.315661299776752 0.601485139073238 6 0.22621727456275
"15.53" 0.353580605550044 0.277010431209291 0.315391406021774 0.330654046204491 0.360729204240371 0.544532204602766 0.124266995919292 0.544532204602766 6 0.382616137913506
"15.79" 0.253786217882207 0.288961902467958 0.365305201861793 0.343837912594757 0.30873783089946 0.674911943718426 0.741251090568237 0.741251090568237 7 0.22621727456275
"151.15" 0.219255169720843 0.274234655156808 0.272104879394004 0.387111001003536 0.443211382967698 0.695583720916693 0.740891558393034 0.740891558393034 7 0.382616137913506
"152.4" -0.262509419248304 -0.0545865398509477 0.181980700512315 0.257435042416502 0.315778513628057 0.589057516472838 0.641346267270085 0.641346267270085 7 0.22621727456275
"156.10" 0.107928855712258 0.154362099508036 0.155584089375466 0.147010299022367 0.1767191312416 0.155137289935141 0.0365745922898435 0.1767191312416 5 0.382616137913506
"157.3" -0.139457569945223 -0.134606537330218 -0.0984412710678851 0.14743775454671 0.155352960328235 0.338589471180513 0.205382122009151 0.338589471180513 6 0.22621727456275
"16.122" 0.219202054977959 0.241804884148262 0.166671180201624 0.171554203166018 0.170523928755524 0.468011942674307 0.323022031309897 0.468011942674307 6 0.382616137913506
"16.193" 0.0950960804192958 0.0977326882615813 0.188310686788 0.0876114240942143 0.0887134014052885 0.00968800249765863 0.128943965395729 0.188310686788 3 0.22621727456275
"16.66" 0.201268073530278 0.127612359860406 0.153391979866845 0.154162254200655 0.241234227860889 0.482448599586669 0.253353026979303 0.482448599586669 6 0.382616137913506
"16.75" 0.291762636856926 0.204842824479479 0.218778237722947 0.320797744464677 0.447745092005827 0.710518953703438 0.362531504264154 0.710518953703438 6 0.22621727456275
"161.7" 0.328290163093028 0.415851545643834 0.43448461843475 0.505316339355472 0.474284841204375 0.578499592035225 0.716374804088315 0.716374804088315 7 0.382616137913506
"162.3" 0.0110828641587608 0.0795247805626049 0.0648482306920892 0.114588818978004 0.182262985524292 0.662354609023258 0.303796583896932 0.662354609023258 6 0.22621727456275
"163.5" 0.14280765971523 0.191345294497074 0.208878993583882 0.294299184214438 0.280542602992803 0.37629626415449 0.32286377210617 0.37629626415449 6 0.382616137913506
"165.6" -0.181408988983569 -0.229056848023542 -0.157149353214594 0.0988641210905522 0.110193535301628 -0.13749537702409 -0.162769103194963 0.110193535301628 5 0.22621727456275
"173.8" 0.163676025284074 0.167641999027838 0.26955169560844 0.322850452541039 0.281162039872181 0.310698070236009 0.725450889097815 0.725450889097815 7 0.382616137913506
"174.3" 0.223535992803598 0.316336553760772 0.326020448403846 0.436538106122745 0.43574714256623 0.55068327155687 0.428893702343451 0.55068327155687 6 0.22621727456275
"177.4" -0.0871472118495042 0.0248511337191436 0.13505258227354 0.195582892374072 0.285237374183491 0.37176941845555 -0.00284290447046886 0.37176941845555 6 0.382616137913506
"18.10" 0.0541257314200599 0.355236300616045 0.14378150311966 0.148887704591921 0.1630801626506 -0.206518048494612 -0.136842741030196 0.355236300616045 2 0.22621727456275
